id,price,surface,bedrooms,restrooms,location_name,Terraza,Ascensor,Piscina,Calefacción
8459,630,85,3,2,A Coruña,0,0,0,0
8460,450,70,3,1,A Coruña,0,0,0,0
8461,600,90,3,2,A Coruña,0,1,0,1
8463,650,80,3,1,A Coruña,0,0,0,0
8464,650,80,3,1,A Coruña,0,1,0,1
8465,525,55,1,1,A Coruña,0,1,0,0
8466,850,75,2,2,A Coruña,0,1,0,1
8467,600,85,3,1,A Coruña,0,1,0,0
8468,630,84,3,1,A Coruña,0,0,0,0
8469,650,72,3,2,A Coruña,0,1,0,1
8470,750,110,4,2,A Coruña,0,0,0,1
8471,600,60,3,1,A Coruña,0,1,0,0
8472,675,71,2,2,A Coruña,0,1,0,0
8474,500,52,1,1,A Coruña,0,1,0,1
8475,450,36,1,1,A Coruña,0,0,0,1
8476,675,90,3,2,A Coruña,0,1,0,0
8478,500,86,3,1,A Coruña,0,1,0,0
8479,570,75,3,1,A Coruña,0,0,0,0
8480,750,100,3,2,A Coruña,0,0,0,1
8481,650,36,1,1,A Coruña,0,1,0,0
8482,550,46,1,1,A Coruña,0,1,0,0
8483,500,90,3,2,A Coruña,0,0,0,0
8484,700,90,2,2,A Coruña,0,0,0,1
8485,630,72,2,1,A Coruña,0,1,0,1
8486,575,57,1,1,A Coruña,0,0,0,0
8487,475,64,3,1,A Coruña,0,0,0,1
8488,900,100,2,2,A Coruña,0,0,0,1
8489,575,65,2,1,A Coruña,0,1,0,1
8490,600,100,4,2,A Coruña,0,1,0,0
8491,550,90,3,1,A Coruña,0,1,0,0
8492,400,50,2,1,A Coruña,0,0,0,1
8493,450,66,3,1,A Coruña,0,1,0,0
8494,600,30,1,1,A Coruña,0,1,0,0
8495,600,69,3,1,A Coruña,0,0,0,0
8496,450,60,2,1,A Coruña,1,0,0,0
8497,490,70,1,1,A Coruña,0,0,0,0
8498,1000,95,3,2,A Coruña,0,1,0,0
8499,450,55,2,1,A Coruña,1,0,0,0
8501,900,120,4,2,A Coruña,0,1,0,0
8502,600,80,3,1,A Coruña,0,1,0,0
8503,800,110,3,2,A Coruña,0,1,0,0
8504,700,115,4,2,A Coruña,0,1,0,0
8505,650,100,4,1,A Coruña,0,0,0,0
8506,495,100,4,1,A Coruña,0,0,0,0
8507,495,105,3,1,A Coruña,0,1,0,0
8510,700,50,1,1,A Coruña,0,1,0,0
8512,650,64,2,1,A Coruña,0,1,0,0
8516,630,65,2,1,A Coruña,0,1,0,0
8517,900,130,4,2,A Coruña,0,1,0,0
8518,700,60,1,1,A Coruña,0,1,0,0
8521,650,91,3,2,A Coruña,0,1,0,0
8522,650,100,3,2,A Coruña,0,1,0,0
8523,1000,100,3,2,A Coruña,0,1,0,0
8524,600,86,3,1,A Coruña,0,0,0,0
8525,600,100,3,1,A Coruña,0,0,0,0
8526,1000,120,3,2,A Coruña,0,1,0,0
8527,600,80,3,1,A Coruña,0,1,0,0
8528,615,70,2,1,A Coruña,0,0,0,1
8529,550,65,1,1,A Coruña,0,1,0,0
8530,680,80,2,1,A Coruña,1,1,0,0
8531,680,80,2,1,A Coruña,1,0,0,1
8532,600,84,3,1,A Coruña,0,0,0,0
8535,600,60,3,1,A Coruña,0,0,0,0
8536,1500,158,4,4,A Coruña,1,1,0,0
8537,650,90,3,2,A Coruña,0,1,0,0
8539,420,51,2,1,A Coruña,1,0,0,0
8541,400,74,2,1,A Coruña,0,0,0,1
8542,680,80,2,1,A Coruña,0,1,0,0
8543,1000,112,3,2,A Coruña,0,1,0,1
8544,800,77,2,2,A Coruña,0,1,0,0
8545,600,70,3,1,A Coruña,0,1,0,0
8546,800,74,3,1,A Coruña,0,1,0,0
8547,750,65,3,1,A Coruña,0,0,0,0
8548,725,82,2,2,A Coruña,0,1,0,0
8549,675,39,1,1,A Coruña,0,1,0,0
8550,600,89,3,1,A Coruña,0,0,0,0
8551,575,70,2,2,A Coruña,0,1,0,0
8552,650,100,4,2,A Coruña,0,1,0,0
8553,1300,154,3,3,A Coruña,0,1,0,1
8554,1650,261,4,3,A Coruña,0,1,0,1
8555,800,85,2,2,A Coruña,0,0,0,1
8556,700,112,4,2,A Coruña,0,1,0,0
8557,500,45,1,1,A Coruña,0,1,0,1
8558,650,65,2,1,A Coruña,0,1,0,1
8561,700,81,2,2,A Coruña,0,1,0,0
8563,630,70,2,2,A Coruña,0,1,0,0
8564,650,70,3,1,A Coruña,0,0,0,0
8566,700,87,4,2,A Coruña,0,0,0,0
8567,580,90,3,1,A Coruña,0,1,0,1
8568,800,129,4,2,A Coruña,0,1,0,0
8569,530,97,3,1,A Coruña,0,1,0,0
8570,950,110,4,2,A Coruña,0,0,0,1
8571,690,88,3,2,A Coruña,0,1,0,0
8572,800,101,3,2,A Coruña,0,1,0,0
8574,500,43,1,1,A Coruña,0,1,0,0
8577,450,80,3,1,A Coruña,0,0,0,0
8579,750,44,1,1,A Coruña,0,1,0,0
8580,650,115,4,2,A Coruña,0,1,0,0
8583,800,80,2,1,A Coruña,0,1,0,1
8584,550,70,3,1,A Coruña,0,1,0,0
8585,650,50,1,1,A Coruña,0,1,0,1
8586,850,65,2,2,A Coruña,0,1,0,1
8587,600,80,3,1,A Coruña,0,1,0,1
8588,525,55,1,1,A Coruña,1,1,0,0
8589,520,70,3,1,A Coruña,0,1,0,0
8592,700,65,2,2,A Coruña,0,0,0,1
8593,480,75,2,1,A Coruña,0,1,0,0
8594,450,84,3,1,A Coruña,0,0,0,0
8596,720,65,2,2,A Coruña,1,1,0,0
8599,650,70,2,1,A Coruña,0,1,0,1
8601,1100,94,3,2,A Coruña,0,1,0,0
8602,500,84,3,1,A Coruña,0,0,0,0
8603,950,97,2,2,A Coruña,0,1,0,0
8604,580,50,1,1,A Coruña,0,1,0,1
8605,500,75,3,1,A Coruña,0,0,0,0
8606,550,90,3,2,A Coruña,0,1,0,0
